         7002252 function calls (7001380 primitive calls) in 27.324 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
      156    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       11    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        2    0.000    0.000    0.000    0.000 C:\Users\lytam\AppData\Local\Programs\Python\Python36-32\lib\sre_compile.py:482(_compile_info)
       22    0.000    0.000    0.000    0.000 C:\Users\lytam\AppData\Local\Programs\Python\Python36-32\lib\threading.py:1230(current_thread)
      358    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       11    0.000    0.000    0.000    0.000 C:\Users\lytam\AppData\Local\Programs\Python\Python36-32\lib\idlelib\rpc.py:295(_proxify)
       42    0.000    0.000    0.000    0.000 <string>:12(__new__)
       42    0.000    0.000    0.000    0.000 C:\Users\lytam\AppData\Local\Programs\Python\Python36-32\lib\inspect.py:891(tokeneater)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.__import__}
        1    0.000    0.000    0.000    0.000 C:\Users\lytam\AppData\Local\Programs\Python\Python36-32\lib\encodings\__init__.py:43(normalize_encoding)
        1    0.000    0.000    0.000    0.000 C:\Users\lytam\AppData\Local\Programs\Python\Python36-32\lib\encodings\utf_8.py:33(getregentry)
        1    0.000    0.000    0.000    0.000 C:\Users\lytam\AppData\Local\Programs\Python\Python36-32\lib\tokenize.py:379(read_or_stop)
       59    0.000    0.000    0.000    0.000 C:\Users\lytam\AppData\Local\Programs\Python\Python36-32\lib\sre_parse.py:81(groups)
        1    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 C:\wamp64\www\Algorithms-Data-Structures\Projects\Project #1(Plagio detectation)\TrieTree.py:29(__init__)
        1    0.000    0.000    0.000    0.000 C:\wamp64\www\Algorithms-Data-Structures\Projects\Project #1(Plagio detectation)\DoublyLinkedList.py:117(remove)
       77    0.000    0.000    0.000    0.000 C:\Users\lytam\AppData\Local\Programs\Python\Python36-32\lib\idlelib\rpc.py:150(debug)
       11    0.000    0.000    0.000    0.000 {method '_acquire_restore' of '_thread.RLock' objects}
        2    0.000    0.000    0.000    0.000 C:\Users\lytam\AppData\Local\Programs\Python\Python36-32\lib\sre_parse.py:828(fix_flags)
